epoch,Noiseless_acc_test,Proposed_acc_test,NoDS_acc_test,NoRIS_acc_test,DC_full_acc_test
1,0.0984,0.0984,0.0984,0.0984,0.0984
2,0.0809,0.0761,0.1008,0.1086,0.1004
3,0.0595,0.0352,0.0815,0.0808,0.0679
4,0.0642,0.0455,0.1108,0.0617,0.0376
5,0.0666,0.0466,0.0834,0.1495,0.0555
6,0.0627,0.035,0.0848,0.1091,0.0765
7,0.0611,0.0437,0.0902,0.1155,0.0377
8,0.0657,0.0747,0.0855,0.1048,0.0836
9,0.071,0.0649,0.1048,0.0922,0.0904
10,0.0796,0.0799,0.069,0.1207,0.0987
11,0.0884,0.0959,0.1093,0.1191,0.0931
12,0.1049,0.1099,0.1171,0.1638,0.1044
13,0.1231,0.0811,0.106,0.1696,0.0794
14,0.1399,0.132,0.1149,0.1523,0.0976
15,0.1596,0.1427,0.1019,0.1463,0.1061
16,0.1757,0.137,0.1086,0.1665,0.1221
17,0.196,0.1321,0.0972,0.1831,0.1337
18,0.2197,0.1272,0.0968,0.1852,0.1339
19,0.2392,0.1545,0.0959,0.1771,0.1163
20,0.2582,0.1474,0.1041,0.1432,0.0761
21,0.2717,0.1172,0.1247,0.1359,0.0847
22,0.2845,0.0892,0.13,0.1245,0.0969
23,0.2977,0.0603,0.1823,0.1286,0.1317
24,0.3121,0.0875,0.1823,0.199,0.1035
25,0.3243,0.0711,0.1853,0.157,0.0758
26,0.3381,0.079,0.1811,0.1805,0.0809
27,0.3594,0.0813,0.1352,0.2073,0.1373
28,0.3355,0.0544,0.1389,0.2337,0.137
29,0.3668,0.1165,0.1434,0.2092,0.1414
30,0.3848,0.1261,0.1385,0.1892,0.1271
31,0.294,0.1198,0.1561,0.1887,0.0924
32,0.3542,0.1201,0.1614,0.148,0.1017
33,0.371,0.131,0.1683,0.1514,0.1074
34,0.3842,0.1175,0.1404,0.1962,0.1022
35,0.3954,0.1391,0.1276,0.2037,0.1196
36,0.4025,0.1359,0.1281,0.1993,0.1209
37,0.4099,0.1576,0.1424,0.1911,0.121
38,0.4162,0.1448,0.1801,0.1967,0.1331
39,0.4218,0.1801,0.1529,0.1869,0.1313
40,0.4255,0.1576,0.1743,0.1065,0.1308
41,0.4283,0.1747,0.1698,0.159,0.1079
